Country,Mode,Battery_type,Powertrain,Year,EV_sales,Scenario,Associated_battery_cap,Installed_battery_cap,Technology,Sub-technology,Metal,Metal intensity (g/kWh),Metal_demand_t,Fiability_used
Canada,2 and 3 wheelers,All,BEV,2024,170.0,Current Measures,3.0,510.0,nan,nan,,,,
Canada,Buses,All,BEV,2024,210.0,Current Measures,300.0,63000.0,nan,nan,,,,
Canada,Cars,All,BEV,2024,190000.0,Current Measures,65.0,12350000.0,nan,nan,,,,
Canada,Trucks,All,BEV,2024,2000.0,Current Measures,350.0,700000.0,nan,nan,,,,
Canada,Vans,All,BEV,2024,11000.0,Current Measures,75.0,825000.0,nan,nan,,,,
Canada,Buses,All,FCEV,2024,13.0,Current Measures,35.0,455.0,nan,nan,,,,
Canada,Cars,All,FCEV,2024,20.0,Current Measures,1.75,35.0,nan,nan,,,,
Canada,Trucks,All,FCEV,2024,6.0,Current Measures,350.0,2100.0,nan,nan,,,,
Canada,Cars,All,PHEV,2024,62000.0,Current Measures,15.0,930000.0,nan,nan,,,,
Canada,Vans,All,PHEV,2024,6400.0,Current Measures,21.8,139520.0,nan,nan,,,,
Canada,2 and 3 wheelers,All,BEV,2025,243.2677962581561,Current Measures,3.0,729.8033887744683,nan,nan,,,,
Canada,Buses,All,BEV,2025,300.5072777306634,Current Measures,300.0,90152.18331919903,nan,nan,,,,
Canada,Cars,All,BEV,2025,271887.53699440975,Current Measures,65.0,17672689.904636633,nan,nan,,,,
Canada,Trucks,All,BEV,2025,2861.9740736253657,Current Measures,350.0,1001690.925768878,nan,nan,,,,
Canada,Vans,All,BEV,2025,15740.857404939512,Current Measures,75.0,1180564.3053704633,nan,nan,,,,
Canada,Buses,All,FCEV,2025,18.602831478564877,Current Measures,35.0,651.0991017497707,nan,nan,,,,
Canada,Cars,All,FCEV,2025,28.619740736253657,Current Measures,1.75,50.0845462884439,nan,nan,,,,
Canada,Trucks,All,FCEV,2025,8.585922220876098,Current Measures,350.0,3005.072777306634,nan,nan,,,,
Canada,Cars,All,PHEV,2025,88721.19628238634,Current Measures,15.0,1330817.9442357952,nan,nan,,,,
Canada,Vans,All,PHEV,2025,9158.31703560117,Current Measures,21.8,199651.31137610553,nan,nan,,,,
Canada,2 and 3 wheelers,All,BEV,2026,327.92208241748733,Current Measures,3.0,983.766247252462,nan,nan,,,,
Canada,Buses,All,BEV,2026,405.08021945689615,Current Measures,300.0,121524.06583706885,nan,nan,,,,
Canada,Cars,All,BEV,2026,366501.15093719173,Current Measures,65.0,23822574.810917463,nan,nan,,,,
Canada,Trucks,All,BEV,2026,3857.906851970439,Current Measures,350.0,1350267.3981896536,nan,nan,,,,
Canada,Vans,All,BEV,2026,21218.487685837415,Current Measures,75.0,1591386.5764378062,nan,nan,,,,
Canada,Buses,All,FCEV,2026,25.076394537807857,Current Measures,35.0,877.6738088232751,nan,nan,,,,
Canada,Cars,All,FCEV,2026,38.57906851970439,Current Measures,1.75,67.51336990948269,nan,nan,,,,
Canada,Trucks,All,FCEV,2026,11.573720555911319,Current Measures,350.0,4050.8021945689616,nan,nan,,,,
Canada,Cars,All,PHEV,2026,119595.11241108362,Current Measures,15.0,1793926.6861662543,nan,nan,,,,
Canada,Vans,All,PHEV,2026,12345.301926305407,Current Measures,21.8,269127.58199345786,nan,nan,,,,
Canada,2 and 3 wheelers,All,BEV,2027,416.5631111649561,Current Measures,3.0,1249.6893334948684,nan,nan,,,,
Canada,Buses,All,BEV,2027,514.5779608508282,Current Measures,300.0,154373.38825524846,nan,nan,,,,
Canada,Cars,All,BEV,2027,465570.53600789217,Current Measures,65.0,30262084.84051299,nan,nan,,,,
Canada,Trucks,All,BEV,2027,4900.742484293602,Current Measures,350.0,1715259.8695027605,nan,nan,,,,
Canada,Vans,All,BEV,2027,26954.08366361481,Current Measures,75.0,2021556.2747711106,nan,nan,,,,
Canada,Buses,All,FCEV,2027,31.854826147908412,Current Measures,35.0,1114.9189151767944,nan,nan,,,,
Canada,Cars,All,FCEV,2027,49.00742484293602,Current Measures,1.75,85.76299347513803,nan,nan,,,,
Canada,Trucks,All,FCEV,2027,14.702227452880805,Current Measures,350.0,5145.779608508282,nan,nan,,,,
Canada,Cars,All,PHEV,2027,151923.01701310166,Current Measures,15.0,2278845.255196525,nan,nan,,,,
Canada,Vans,All,PHEV,2027,15682.375949739526,Current Measures,21.8,341875.7957043217,nan,nan,,,,
Canada,2 and 3 wheelers,All,BEV,2028,512.018380380415,Current Measures,3.0,1536.055141141245,nan,nan,,,,
Canada,Buses,All,BEV,2028,632.4932934111009,Current Measures,300.0,189747.98802333028,nan,nan,,,,
